linear,rbf,laplacian,exponential,cauchy,sigmoid,polynomial
"[np.float64(0.11289903800003545), np.float64(0.15089858802780695), np.float64(0.16432627982039738), np.float64(0.19794727583921376), np.float64(0.1294305043601974)]","[np.float64(0.11904767646911456), np.float64(0.15116296750141336), np.float64(0.17425722188140783), np.float64(0.2000639065383416), np.float64(0.13349800298368825)]","[np.float64(0.12466624879739129), np.float64(0.15390057712643623), np.float64(0.17849899593940186), np.float64(0.18689261998368964), np.float64(0.13563925427193543)]","[np.float64(0.12527485367762173), np.float64(0.14955852898967192), np.float64(0.18077950869222792), np.float64(0.1793848541862675), np.float64(0.1376329358635777)]","[np.float64(0.12030931597363952), np.float64(0.15166928705919086), np.float64(0.17771891063855583), np.float64(0.19023904762155863), np.float64(0.13475707808356424)]","[np.float64(0.12431429615067537), np.float64(0.17567602341545532), np.float64(0.17454087861196893), np.float64(0.19140829505760076), np.float64(0.13087911031374666)]","[np.float64(0.11694491418169682), np.float64(0.15269633828375986), np.float64(0.20292708645358665), np.float64(0.17979774130160367), np.float64(0.13241632442290752)]"
0.1511003372095302,0.1556059550747931,0.15591953922377091,0.15452613628187334,0.15493872787530183,0.1593637207098894,0.1569564809287109
0.029320719079391565,0.028876941045328786,0.023921947769724984,0.022239111022444417,0.02600858973930193,0.02669504552541819,0.031165087254751703
"[np.float64(0.6945445971991473), np.float64(0.6866750656753818), np.float64(0.7953593993300864), np.float64(0.6874184443246321), np.float64(0.6801601702711428)]","[np.float64(0.6662753764782456), np.float64(0.7166044266049245), np.float64(0.7874239303573934), np.float64(0.6964835795211746), np.float64(0.6873157457361864)]","[np.float64(0.6314313234931005), np.float64(0.6869515085897967), np.float64(0.7811303799071154), np.float64(0.7000947548058337), np.float64(0.6884924371245945)]","[np.float64(0.6871602271430861), np.float64(0.7195001187710718), np.float64(0.7826758054732608), np.float64(0.7057537849616462), np.float64(0.6980961937187042)]","[np.float64(0.6662753764782456), np.float64(0.7147935665621638), np.float64(0.7905318493056718), np.float64(0.7013265623854181), np.float64(0.6905291175653021)]","[np.float64(0.6345187998652085), np.float64(0.5965684888809423), np.float64(0.7859518753852555), np.float64(0.7007946059764597), np.float64(0.689466825097809)]","[np.float64(0.6701765794851368), np.float64(0.6660920509911887), np.float64(0.7839452731064694), np.float64(0.7034791818048901), np.float64(0.6806509834579954)]"
0.708831535360078,0.7108206117395849,0.6976200807840882,0.7186372260135537,0.7126912944593602,0.681460119041135,0.7008688137691361
0.043503251919530556,0.04157842743735154,0.04807947165744683,0.03370579404819187,0.042043615897307,0.06444615300860154,0.043517144332911595
"[{'lambda_reg': 0.974217634211552}, {'lambda_reg': 0.566984951147885}, {'lambda_reg': 0.9724175504919988}, {'lambda_reg': 0.974217634211552}, {'lambda_reg': 0.974217634211552}]","[{'lambda_reg': 0.8192602279031006, 'gamma': 0.023739423955292542}, {'lambda_reg': 0.567005066101662, 'gamma': 0.026810157533840164}, {'lambda_reg': 0.3708059888336652, 'gamma': 0.01324683205408713}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.8192602279031006, 'gamma': 0.023739423955292542}]","[{'lambda_reg': 0.6940420245381972, 'gamma': 0.03299263281612611}, {'lambda_reg': 0.10833638781816698, 'gamma': 0.007583182468315394}, {'lambda_reg': 0.8192602279031006, 'gamma': 0.023739423955292542}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.8192602279031006, 'gamma': 0.023739423955292542}]","[{'lambda_reg': 0.9332678057339263, 'gamma': 0.04637118369466444}, {'lambda_reg': 0.1247117403453705, 'gamma': 0.024020392351233304}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.10833638781816698, 'gamma': 0.007583182468315394}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}]","[{'lambda_reg': 0.8192602279031006, 'gamma': 0.023739423955292542}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.2700934013350814, 'gamma': 0.003770205918821814}, {'lambda_reg': 0.8192602279031006, 'gamma': 0.023739423955292542}, {'lambda_reg': 0.8192602279031006, 'gamma': 0.023739423955292542}]","[{'lambda_reg': 0.0037253938395788847, 'gamma': 0.23423849847112907, 'coef0': -4.5354958728000225}, {'lambda_reg': 0.0037253938395788847, 'gamma': 0.23423849847112907, 'coef0': -4.5354958728000225}, {'lambda_reg': 0.016541073183399983, 'gamma': 0.004798876337315295, 'coef0': -1.4390877666500637}, {'lambda_reg': 0.00583215183416258, 'gamma': 0.002715875319811944, 'coef0': 1.761342106085986}, {'lambda_reg': 0.016541073183399983, 'gamma': 0.004798876337315295, 'coef0': -1.4390877666500637}]","[{'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055, 'degree': 2, 'coef0': 0.9170225492671691}, {'lambda_reg': 0.17455141737474106, 'gamma': 0.016131718087174805, 'degree': 5, 'coef0': 0.5191336506268003}, {'lambda_reg': 0.5317196633982109, 'gamma': 0.028504320627871515, 'degree': 3, 'coef0': 0.08980937807409806}, {'lambda_reg': 0.031306996276618315, 'gamma': 0.0010331128773434018, 'degree': 4, 'coef0': 0.5187244659040342}, {'lambda_reg': 0.044311096087544695, 'gamma': 0.0010331128773434018, 'degree': 4, 'coef0': 0.6445812087177805}]"
