linear,rbf,laplacian,exponential,cauchy,sigmoid,polynomial
"[np.float64(0.12124023678940674), np.float64(0.1547382823681329), np.float64(0.16851255714226357), np.float64(0.17393536425594724), np.float64(0.13477550320217332)]","[np.float64(0.11963593994607138), np.float64(0.1496772008480001), np.float64(0.1832354048600101), np.float64(0.18629310592512066), np.float64(0.13405214306432026)]","[np.float64(0.12446367522292735), np.float64(0.1509907349675856), np.float64(0.1808464561158209), np.float64(0.17916978552535667), np.float64(0.13510373346485968)]","[np.float64(0.12495664550536227), np.float64(0.1487999682867076), np.float64(0.18792903406422484), np.float64(0.18254492361483005), np.float64(0.137142416262838)]","[np.float64(0.12062224723247855), np.float64(0.14899606076343), np.float64(0.1780710198489774), np.float64(0.19063252554177862), np.float64(0.13419052861789785)]","[np.float64(0.11285479190143649), np.float64(0.15715350721561075), np.float64(0.1810236314717545), np.float64(0.18458111590880366), np.float64(0.12637205704681143)]","[np.float64(0.1270989307105639), np.float64(0.1516644753665637), np.float64(0.2155741838378707), np.float64(0.18655171776482954), np.float64(0.15661814305949875)]"
0.15064038875158475,0.15457875892870448,0.15411487705931007,0.15627459754679254,0.15450247640091247,0.15239702070888336,0.1675014901478653
0.019974616630720386,0.026432445934331843,0.022771488190350953,0.024879139640607784,0.026274026930042348,0.02870125287916117,0.03057947069844383
"[np.float64(0.6345075706970926), np.float64(0.6332601242328718), np.float64(0.7872023228260346), np.float64(0.7107991661521118), np.float64(0.6492873977673925)]","[np.float64(0.6992423074960773), np.float64(0.6648680035027329), np.float64(0.7871876624611018), np.float64(0.6920874091784998), np.float64(0.6777407670381234)]","[np.float64(0.6189419469048425), np.float64(0.6653357416013939), np.float64(0.7712122902750962), np.float64(0.7071154538905777), np.float64(0.6756463026752987)]","[np.float64(0.6929768722223568), np.float64(0.7176172081223248), np.float64(0.782736390882791), np.float64(0.7035412862719966), np.float64(0.6980961937187042)]","[np.float64(0.6930236170142606), np.float64(0.6673740368443906), np.float64(0.7744316060232226), np.float64(0.6876313595656471), np.float64(0.6777407670381234)]","[np.float64(0.6805862360506272), np.float64(0.6994231365806935), np.float64(0.7937314436045183), np.float64(0.6976203589019918), np.float64(0.6904793860671955)]","[np.float64(0.6228286936575674), np.float64(0.7092889358278951), np.float64(0.0), np.float64(0.7031831800572301), np.float64(0.0)]"
0.6830113163351006,0.7042252299353071,0.6876503470694418,0.7189935902436347,0.7000402772971288,0.7123681122410053,0.40706016190853855
0.059317834706127774,0.043140096121297704,0.05044674754243953,0.0329162074280068,0.03821422764765293,0.04121714279679225,0.3337613170460084
"[{'lambda_reg': 0.0003277622927423502, 'K_bin': 441}, {'lambda_reg': 8.111941985431919e-05, 'K_bin': 185}, {'lambda_reg': 0.1452824663751603, 'K_bin': 214}, {'lambda_reg': 0.1452824663751603, 'K_bin': 214}, {'lambda_reg': 0.0457056309980145, 'K_bin': 600}]","[{'lambda_reg': 0.9858911056869908, 'K_bin': 424, 'gamma': 0.012529677507216418}, {'lambda_reg': 0.5797039823228968, 'K_bin': 553, 'gamma': 0.022091585004767586}, {'lambda_reg': 0.9858402294997911, 'K_bin': 991, 'gamma': 0.012529677507216418}, {'lambda_reg': 0.7762120319752465, 'K_bin': 560, 'gamma': 0.0174719233691234}, {'lambda_reg': 0.11768610013765103, 'K_bin': 441, 'gamma': 0.00105544259476578}]","[{'lambda_reg': 0.4180318125824836, 'K_bin': 388, 'gamma': 0.06779583227739594}, {'lambda_reg': 0.5797039823228968, 'K_bin': 553, 'gamma': 0.022091585004767586}, {'lambda_reg': 0.9737066274842903, 'K_bin': 680, 'gamma': 0.030989558307981807}, {'lambda_reg': 0.5797039823228968, 'K_bin': 553, 'gamma': 0.022091585004767586}, {'lambda_reg': 0.5797039823228968, 'K_bin': 553, 'gamma': 0.022091585004767586}]","[{'lambda_reg': 0.5797039823228968, 'K_bin': 553, 'gamma': 0.022091585004767586}, {'lambda_reg': 0.03629852778670353, 'K_bin': 408, 'gamma': 0.010141970754603559}, {'lambda_reg': 0.9738347562110469, 'K_bin': 462, 'gamma': 0.03726117106202923}, {'lambda_reg': 0.012521885136283686, 'K_bin': 428, 'gamma': 0.0010817797065433433}, {'lambda_reg': 0.12020621678423295, 'K_bin': 435, 'gamma': 0.007085282393568243}]","[{'lambda_reg': 0.9858911056869908, 'K_bin': 424, 'gamma': 0.012529677507216418}, {'lambda_reg': 0.5797039823228968, 'K_bin': 553, 'gamma': 0.022091585004767586}, {'lambda_reg': 0.7762120319752465, 'K_bin': 560, 'gamma': 0.0174719233691234}, {'lambda_reg': 0.5797039823228968, 'K_bin': 553, 'gamma': 0.022091585004767586}, {'lambda_reg': 0.11736073009654487, 'K_bin': 414, 'gamma': 0.00105544259476578}]","[{'lambda_reg': 1.1935446945796218e-05, 'K_bin': 345, 'gamma': 0.0011456416145163833, 'coef0': 2.792391430096221}, {'lambda_reg': 1.1935446945796218e-05, 'K_bin': 302, 'gamma': 0.0010926230665979453, 'coef0': 2.2972982351859215}, {'lambda_reg': 6.0268891286825045e-05, 'K_bin': 157, 'gamma': 0.0017073967431528124, 'coef0': 3.6617614577493516}, {'lambda_reg': 0.00012078043761456396, 'K_bin': 506, 'gamma': 0.047315854029605406, 'coef0': 4.700723553273305}, {'lambda_reg': 5.9030903991576896e-05, 'K_bin': 381, 'gamma': 0.024093372983032928, 'coef0': 4.458097199737131}]","[{'lambda_reg': 0.08431013932082466, 'K_bin': 201, 'gamma': 0.11400863701127326, 'degree': 4, 'coef0': 0.23225206359998862}, {'lambda_reg': 0.7623157909857666, 'K_bin': 701, 'gamma': 0.010011801788636919, 'degree': 2, 'coef0': 3.2004425123377818}, {'lambda_reg': 3.6297823538292006e-05, 'K_bin': 15, 'gamma': 3.7872316597008227, 'degree': 5, 'coef0': 0.017405481665317524}, {'lambda_reg': 0.8195681508376966, 'K_bin': 734, 'gamma': 0.004650952617710789, 'degree': 2, 'coef0': 3.138214726279749}, {'lambda_reg': 3.6297823538292006e-05, 'K_bin': 15, 'gamma': 3.7872316597008227, 'degree': 5, 'coef0': 0.017405481665317524}]"
