linear,rbf,laplacian,exponential,cauchy,sigmoid,polynomial
"[np.float64(0.13061721069405122), np.float64(0.1471514383377478), np.float64(0.17749890283995984), np.float64(0.19453347795063267), np.float64(0.13693009381371765)]","[np.float64(0.13220239233657893), np.float64(0.15051957762983853), np.float64(0.1739194185036866), np.float64(0.19574034154407702), np.float64(0.1335304413104616)]","[np.float64(0.12460740413567928), np.float64(0.15402911747138445), np.float64(0.17846438914965326), np.float64(0.18694202173278687), np.float64(0.13566498203562696)]","[np.float64(0.12521831506802478), np.float64(0.14945579040627657), np.float64(0.18080996235255145), np.float64(0.1793284228698404), np.float64(0.13741243243724544)]","[np.float64(0.1232099348831639), np.float64(0.15072901291181234), np.float64(0.17571147412013158), np.float64(0.19021439700969955), np.float64(0.13425497652101484)]","[np.float64(0.12447503550476127), np.float64(0.17550636095194), np.float64(0.1752840374471136), np.float64(0.19148709640765393), np.float64(0.1324534521898634)]","[np.float64(0.1352305069478658), np.float64(0.1520358593341485), np.float64(0.17979982414824502), np.float64(0.17980487497722805), np.float64(0.14912180145808254)]"
0.15734622472722185,0.15718243426492853,0.15594158290502616,0.15444498462678774,0.15482395908916444,0.15984119650026646,0.159198573373114
0.02459355403193075,0.02447305366788488,0.02393713781824356,0.022286747882238982,0.02501227512625738,0.026405285746334915,0.017755817143101135
"[np.float64(0.5891599149821635), np.float64(0.7090255900376624), np.float64(0.7954183315539202), np.float64(0.6988528444172577), np.float64(0.6848479240381158)]","[np.float64(0.58535220155908), np.float64(0.7165572326326505), np.float64(0.8017933760608489), np.float64(0.7010305606377581), np.float64(0.686448859375507)]","[np.float64(0.6314313234931005), np.float64(0.6869515085897967), np.float64(0.7811303799071154), np.float64(0.7000947548058337), np.float64(0.6884924371245945)]","[np.float64(0.6871602271430861), np.float64(0.7243095762064434), np.float64(0.7826758054732608), np.float64(0.7057537849616462), np.float64(0.6980961937187042)]","[np.float64(0.6867897841663039), np.float64(0.7165572326326505), np.float64(0.7858320907946145), np.float64(0.7013265623854181), np.float64(0.6826653212988061)]","[np.float64(0.6369083687362322), np.float64(0.5984016862622649), np.float64(0.8034284306961795), np.float64(0.7007946059764597), np.float64(0.6840127153436582)]","[np.float64(0.5924734158351295), np.float64(0.6852892989198546), np.float64(0.7907217595440833), np.float64(0.7034791818048901), np.float64(0.632562024754096)]"
0.6954609210058239,0.6982364460531689,0.6976200807840882,0.7195991175006282,0.7146341982555586,0.6847091614029589,0.6809051361716106
0.06572599014108785,0.06920880854992795,0.04807947165744683,0.03378522623494152,0.037542646751449325,0.06940805070088892,0.06744734949778804
"[{'lambda_reg': 0.974217634211552}, {'lambda_reg': 0.974217634211552}, {'lambda_reg': 0.974217634211552}, {'lambda_reg': 0.974217634211552}, {'lambda_reg': 0.974217634211552}]","[{'lambda_reg': 0.0036568062436844657, 'gamma': 0.0027295777319324686}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.8192602279031006, 'gamma': 0.026810157533840164}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}]","[{'lambda_reg': 0.6940420245381972, 'gamma': 0.03299263281612611}, {'lambda_reg': 0.10833638781816698, 'gamma': 0.007583182468315394}, {'lambda_reg': 0.8192602279031006, 'gamma': 0.023739423955292542}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.8192602279031006, 'gamma': 0.023739423955292542}]","[{'lambda_reg': 0.567005066101662, 'gamma': 0.026810157533840164}, {'lambda_reg': 0.1247117403453705, 'gamma': 0.024020392351233304}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.10833638781816698, 'gamma': 0.007583182468315394}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}]","[{'lambda_reg': 0.3784688828069829, 'gamma': 0.003005305582965333}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.8192602279031006, 'gamma': 0.023739423955292542}, {'lambda_reg': 0.8192602279031006, 'gamma': 0.023739423955292542}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}]","[{'lambda_reg': 0.0037253938395788847, 'gamma': 0.23423849847112907, 'coef0': -4.5354958728000225}, {'lambda_reg': 0.0037253938395788847, 'gamma': 0.23423849847112907, 'coef0': -4.5354958728000225}, {'lambda_reg': 0.016541073183399983, 'gamma': 0.004798876337315295, 'coef0': -1.4390877666500637}, {'lambda_reg': 0.00583215183416258, 'gamma': 0.002715875319811944, 'coef0': 1.761342106085986}, {'lambda_reg': 0.016541073183399983, 'gamma': 0.004798876337315295, 'coef0': -1.4390877666500637}]","[{'lambda_reg': 0.002271064935310908, 'gamma': 0.011599554296339833, 'degree': 2, 'coef0': 4.98877870017407}, {'lambda_reg': 0.17455141737474106, 'gamma': 0.016131718087174805, 'degree': 5, 'coef0': 0.5191336506268003}, {'lambda_reg': 0.031306996276618315, 'gamma': 0.0010331128773434018, 'degree': 4, 'coef0': 0.5187244659040342}, {'lambda_reg': 0.031306996276618315, 'gamma': 0.0010331128773434018, 'degree': 4, 'coef0': 0.5187244659040342}, {'lambda_reg': 6.0268891286825045e-05, 'gamma': 0.004207053950287938, 'degree': 2, 'coef0': 4.330880728874676}]"
