30,30,30
0.05,0.25,0.5
"{'test_ibs': [np.float64(0.16579780987448317), np.float64(0.19416434256113807), np.float64(0.1900537656458368), np.float64(0.22792304443072248), np.float64(0.3446090618201019)], 'mean_ibs': 0.22450960486645646, 'std_ibs': 0.06323076118816648, 'best_params': [{'lambda_reg': 0.9733718384908422}, {'lambda_reg': 0.86607490542954}, {'lambda_reg': 0.566984951147885}, {'lambda_reg': 0.7041830285015993}, {'lambda_reg': 0.034702669886504146}]}","{'test_ibs': [np.float64(0.12139902326008319), np.float64(0.19542409468469002), np.float64(0.2015040905886793), np.float64(0.29468284871679373), np.float64(0.3686013811170777)], 'mean_ibs': 0.2363222876734648, 'std_ibs': 0.08601864843040287, 'best_params': [{'lambda_reg': 0.974217634211552}, {'lambda_reg': 0.974217634211552}, {'lambda_reg': 0.0034719457035667475}, {'lambda_reg': 0.0007459343285726547}, {'lambda_reg': 0.974217634211552}]}","{'test_ibs': [inf, np.float64(0.2769503487147969), inf, inf, np.float64(0.26012298538857714)], 'mean_ibs': inf, 'std_ibs': nan, 'best_params': [{'lambda_reg': 0.0007459343285726547}, {'lambda_reg': 0.0007459343285726547}, {'lambda_reg': 0.0007459343285726547}, {'lambda_reg': 0.19943229483118255}, {'lambda_reg': 0.0007459343285726547}]}"
"{'test_ibs': [np.float64(0.1740768676687088), np.float64(0.08451357901837973), np.float64(0.1705654145162816), np.float64(0.17450772473815146), np.float64(0.3297452867357647)], 'mean_ibs': 0.18668177453545726, 'std_ibs': 0.07933767947722906, 'best_params': [{'lambda_reg': 0.7041830285015993, 'gamma': 0.0010499980275967115}, {'lambda_reg': 0.17990175179185433, 'gamma': 0.008411485830411946}, {'lambda_reg': 0.04433796650396756, 'gamma': 0.18023371985345782}, {'lambda_reg': 6.0268891286825045e-05, 'gamma': 0.004207053950287938}, {'lambda_reg': 0.12951505461009774, 'gamma': 0.3832002315345676}]}","{'test_ibs': [np.float64(0.06481097837879275), np.float64(0.145501175151356), inf, np.float64(0.2321124526217933), np.float64(0.3440978804151302)], 'mean_ibs': inf, 'std_ibs': nan, 'best_params': [{'lambda_reg': 5.1028939143324584e-05, 'gamma': 0.05329623871103633}, {'lambda_reg': 0.5947398938400763, 'gamma': 1.9248951672669992}, {'lambda_reg': 0.017252824336922875, 'gamma': 0.16100969110781474}, {'lambda_reg': 0.00028203407403477795, 'gamma': 0.001129033764164707}, {'lambda_reg': 0.00033205591037519585, 'gamma': 0.12561043700013558}]}","{'test_ibs': [inf, np.float64(0.2709217400514415), np.float64(0.05238735730171924), inf, inf], 'mean_ibs': inf, 'std_ibs': nan, 'best_params': [{'lambda_reg': 0.005534864955776961, 'gamma': 0.0016271127063156529}, {'lambda_reg': 0.0003968021095121738, 'gamma': 0.001172126514887231}, {'lambda_reg': 0.005933372874391672, 'gamma': 0.0014285676124002407}, {'lambda_reg': 0.020785262126951747, 'gamma': 0.002784987782111041}, {'lambda_reg': 2.6389851552105357e-05, 'gamma': 0.3963264538444597}]}"
"{'test_ibs': [np.float64(0.167360629772134), np.float64(0.07909763209673691), np.float64(0.1615244533908971), inf, np.float64(0.2679405106316611)], 'mean_ibs': inf, 'std_ibs': nan, 'best_params': [{'lambda_reg': 0.8192602279031006, 'gamma': 0.023739423955292542}, {'lambda_reg': 0.03616554465125352, 'gamma': 0.002526528385268754}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.019637273952721544, 'gamma': 0.0325713405696759}, {'lambda_reg': 0.12372158759913639, 'gamma': 0.500793099022407}]}","{'test_ibs': [np.float64(0.12348232334220069), np.float64(0.09447005446166865), inf, inf, np.float64(0.18160603938941858)], 'mean_ibs': inf, 'std_ibs': nan, 'best_params': [{'lambda_reg': 0.025107793280998762, 'gamma': 0.0010772861953931684}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.00035955314978309156, 'gamma': 0.0011347135019867322}, {'lambda_reg': 0.5430119434848287, 'gamma': 0.03457792305107103}, {'lambda_reg': 8.111941985431919e-05, 'gamma': 0.00541524411940254}]}","{'test_ibs': [inf, np.float64(0.517227367332563), inf, np.float64(0.20537733045678144), np.float64(0.23756171416972124)], 'mean_ibs': inf, 'std_ibs': nan, 'best_params': [{'lambda_reg': 0.04196770274933968, 'gamma': 0.011479694926273433}, {'lambda_reg': 0.0011283728353696514, 'gamma': 0.027408814040491936}, {'lambda_reg': 0.0007459343285726547, 'gamma': 6.351221010640703}, {'lambda_reg': 0.00033205591037519585, 'gamma': 0.12561043700013558}, {'lambda_reg': 0.0003603517820107172, 'gamma': 0.03662312545606229}]}"
"{'test_ibs': [np.float64(0.16864477472141762), np.float64(0.08338771382071328), np.float64(0.16492534252130658), np.float64(0.18279448732180087), np.float64(0.11482522853150905)], 'mean_ibs': 0.14291550938334946, 'std_ibs': 0.037601550643278546, 'best_params': [{'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.08282245617333744, 'gamma': 0.043273924691670955}, {'lambda_reg': 0.025701977518010507, 'gamma': 0.002527043006939766}, {'lambda_reg': 0.00010493552519362754, 'gamma': 0.10382915350678222}, {'lambda_reg': 0.013081617415806563, 'gamma': 0.007583182468315394}]}","{'test_ibs': [np.float64(0.12086034073331925), np.float64(0.11203768983602141), np.float64(0.24875020756214145), np.float64(0.15959977331829414), np.float64(0.15802386784367936)], 'mean_ibs': 0.15985437585869114, 'std_ibs': 0.04840011304500037, 'best_params': [{'lambda_reg': 0.35812830355857683, 'gamma': 0.04466233227482027}, {'lambda_reg': 0.00033205591037519585, 'gamma': 0.12561043700013558}, {'lambda_reg': 0.00020681581856833543, 'gamma': 0.313569713135636}, {'lambda_reg': 0.07944399995238058, 'gamma': 0.005574600816242416}, {'lambda_reg': 0.013081617415806563, 'gamma': 0.007583182468315394}]}","{'test_ibs': [np.float64(0.2650547097799605), np.float64(0.4084069517199392), np.float64(0.12671996899440613), np.float64(0.04535703359476885), np.float64(0.22617400741758129)], 'mean_ibs': 0.21434253430133116, 'std_ibs': 0.12377925513260572, 'best_params': [{'lambda_reg': 0.10928586138285316, 'gamma': 0.03713740624438136}, {'lambda_reg': 0.00033205591037519585, 'gamma': 0.12561043700013558}, {'lambda_reg': 1.104949007786578e-05, 'gamma': 0.5835614630114297}, {'lambda_reg': 6.046735714893169e-05, 'gamma': 0.03299263281612611}, {'lambda_reg': 6.0268891286825045e-05, 'gamma': 0.004207053950287938}]}"
"{'test_ibs': [np.float64(0.17406502995293255), np.float64(0.08635831819641311), np.float64(0.15794024455532468), np.float64(0.18553624106749733), np.float64(0.5375463874126948)], 'mean_ibs': 0.22828924423697253, 'std_ibs': 0.15843070082713076, 'best_params': [{'lambda_reg': 0.7041830285015993, 'gamma': 0.0010499980275967115}, {'lambda_reg': 0.21168311192400854, 'gamma': 1.1317803467676832}, {'lambda_reg': 0.00010916771197512772, 'gamma': 0.0010567900894501644}, {'lambda_reg': 0.04257543517912423, 'gamma': 0.047748831398426644}, {'lambda_reg': 0.00033205591037519585, 'gamma': 0.12561043700013558}]}","{'test_ibs': [np.float64(0.12244008288683521), np.float64(0.1192571818699595), np.float64(0.23247773547953243), np.float64(0.24766023521036729), np.float64(0.3497138553864202)], 'mean_ibs': 0.2143098181666229, 'std_ibs': 0.08631526951730463, 'best_params': [{'lambda_reg': 0.10397544066024078, 'gamma': 0.0011269229848279963}, {'lambda_reg': 0.00020681581856833543, 'gamma': 0.313569713135636}, {'lambda_reg': 0.017252824336922875, 'gamma': 0.16100969110781474}, {'lambda_reg': 7.338362638726046e-05, 'gamma': 0.019838470395546502}, {'lambda_reg': 0.00022974680596440147, 'gamma': 0.06677676061863547}]}","{'test_ibs': [np.float64(0.25585904683370564), np.float64(0.464781687983206), np.float64(0.029747358798522684), np.float64(0.07086460103929533), np.float64(0.1491089058612378)], 'mean_ibs': 0.1940723201031935, 'std_ibs': 0.1557598825263236, 'best_params': [{'lambda_reg': 0.00033205591037519585, 'gamma': 0.12561043700013558}, {'lambda_reg': 0.0003603517820107172, 'gamma': 0.03662312545606229}, {'lambda_reg': 0.00020711428829312412, 'gamma': 0.03299263281612611}, {'lambda_reg': 0.0014445251022763056, 'gamma': 0.014618962793704957}, {'lambda_reg': 0.013627563818737495, 'gamma': 0.03299263281612611}]}"
"{'test_ibs': [np.float64(0.12982792397555132), np.float64(0.09740304375341433), np.float64(0.11778796293964548), np.float64(0.19537321364108917), np.float64(0.11832648058833917)], 'mean_ibs': 0.1317437249796079, 'std_ibs': 0.03348566932005048, 'best_params': [{'lambda_reg': 4.98275235707645e-05, 'gamma': 0.01474275315991467, 'coef0': -1.336381567063083}, {'lambda_reg': 1.1035511084429549e-05, 'gamma': 0.04636542849611644, 'coef0': -0.8811517305622032}, {'lambda_reg': 6.234120308358003e-05, 'gamma': 0.03467778877099783, 'coef0': -0.5247459347167905}, {'lambda_reg': 0.0005176025906267281, 'gamma': 0.049616573571865094, 'coef0': -2.1013539538857104}, {'lambda_reg': 0.034702669886504146, 'gamma': 0.0012087541473056963, 'coef0': 4.699098521619943}]}","{'test_ibs': [np.float64(0.13203402513093718), np.float64(0.08217007836976743), np.float64(0.32200049856862883), np.float64(0.25755251179575755), np.float64(0.14113341701295726)], 'mean_ibs': 0.18697810617560964, 'std_ibs': 0.08867593070837831, 'best_params': [{'lambda_reg': 1.1858894984865892e-05, 'gamma': 0.1466327792852798, 'coef0': -0.698994507896628}, {'lambda_reg': 4.98275235707645e-05, 'gamma': 0.01474275315991467, 'coef0': -1.336381567063083}, {'lambda_reg': 0.12020621678423295, 'gamma': 0.06682330410021813, 'coef0': -1.4451543553806714}, {'lambda_reg': 0.00010916771197512772, 'gamma': 0.07821846444899154, 'coef0': -1.038134531024607}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055, 'coef0': -3.181750327928994}]}","{'test_ibs': [np.float64(0.2702174102742141), np.float64(0.37194817824666515), np.float64(0.14407593652135603), np.float64(0.14061211702492923), np.float64(0.281008894563496)], 'mean_ibs': 0.24157250732613206, 'std_ibs': 0.08839927194234284, 'best_params': [{'lambda_reg': 4.284999438570432e-05, 'gamma': 0.0015373986145896892, 'coef0': -2.48255875080382}, {'lambda_reg': 1.2161424810305007e-05, 'gamma': 0.08014049807776488, 'coef0': -2.2551502671751917}, {'lambda_reg': 0.00040628977062674606, 'gamma': 0.3272636311971741, 'coef0': -3.680404546221617}, {'lambda_reg': 0.01311852052778395, 'gamma': 0.03629160135104845, 'coef0': -1.2355979545941302}, {'lambda_reg': 0.0005423185466354639, 'gamma': 0.3633741340913686, 'coef0': -2.157312573922985}]}"
"{'test_ibs': [np.float64(0.14884293189196715), np.float64(0.05314994314073681), np.float64(0.1181948547577078), np.float64(0.18233902971892782), np.float64(0.14938215727572818)], 'mean_ibs': 0.13038178335701356, 'std_ibs': 0.043622613483537, 'best_params': [{'lambda_reg': 0.40689084724310365, 'gamma': 0.06701521675295774, 'degree': 4, 'coef0': 0.537901978570329}, {'lambda_reg': 0.032048888853410874, 'gamma': 0.3350950446463737, 'degree': 2, 'coef0': 2.76582882187381}, {'lambda_reg': 0.0026642220772397185, 'gamma': 0.013426510802223807, 'degree': 3, 'coef0': 3.264648750204892}, {'lambda_reg': 7.13513556342227e-05, 'gamma': 0.0519296998181534, 'degree': 3, 'coef0': 3.367354259031389}, {'lambda_reg': 0.03765720312640264, 'gamma': 0.8566301930727155, 'degree': 2, 'coef0': 3.189858776055304}]}","{'test_ibs': [np.float64(0.10693856070046029), np.float64(0.1085141764484679), np.float64(0.14457314668218854), np.float64(0.20906303958090175), np.float64(0.16763832308363646)], 'mean_ibs': 0.14734544929913101, 'std_ibs': 0.03839044604025936, 'best_params': [{'lambda_reg': 0.00012865930166208283, 'gamma': 0.014755497674806753, 'degree': 6, 'coef0': 1.648786090272261}, {'lambda_reg': 0.018169072332895327, 'gamma': 0.0014285676124002407, 'degree': 4, 'coef0': 1.1440521798271786}, {'lambda_reg': 0.09064558607020001, 'gamma': 0.024142096469713277, 'degree': 4, 'coef0': 3.502210473197012}, {'lambda_reg': 0.0004911390037128516, 'gamma': 0.012067062446795217, 'degree': 5, 'coef0': 4.980084946806068}, {'lambda_reg': 0.12439896572764723, 'gamma': 0.08136892354065252, 'degree': 3, 'coef0': 4.8471313734387}]}","{'test_ibs': [np.float64(0.26962141186882277), np.float64(0.3166809639147632), np.float64(0.03809390188477433), np.float64(0.08498181661858267), np.float64(0.23137938955373424)], 'mean_ibs': 0.18815149676813545, 'std_ibs': 0.10787686164375791, 'best_params': [{'lambda_reg': 0.29458447145107686, 'gamma': 0.0010239101630892848, 'degree': 4, 'coef0': 2.6537143918280934}, {'lambda_reg': 6.31348626443895e-05, 'gamma': 0.10271667217373442, 'degree': 4, 'coef0': 2.9436953083228845}, {'lambda_reg': 0.04505494135859004, 'gamma': 0.01043367949567365, 'degree': 4, 'coef0': 3.7169490748291407}, {'lambda_reg': 0.0008377802206326469, 'gamma': 0.014755497674806753, 'degree': 6, 'coef0': 3.0666779902900654}, {'lambda_reg': 6.0268891286825045e-05, 'gamma': 0.004207053950287938, 'degree': 2, 'coef0': 4.330880728874676}]}"
