index,mean_ibs,std_ibs,min_test_ibs,max_test_ibs,best_params_min_ibs
linear,0.2136355553515553,0.03382634873192674,0.16712176699535408,0.2600384132706304,{'lambda_reg': 0.974217634211552}
rbf,0.18271817460484063,0.030451035461174492,0.12357886239528423,0.20554881673800285,"{'lambda_reg': 0.017471344532449973, 'gamma': 0.0012958943129673043}"
laplacian,0.18785706546247027,0.03125585948404447,0.12690173358627563,0.21016835431586298,"{'lambda_reg': 0.1921115190604695, 'gamma': 0.001129033764164707}"
exponential,0.18411649119608967,0.030421655447148935,0.12403905028331559,0.2064432780222964,"{'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}"
cauchy,0.18269862893767472,0.028565791338232657,0.12688284007793194,0.20276341267817072,"{'lambda_reg': 0.7041830285015993, 'gamma': 0.0010499980275967115}"
sigmoid,0.18522628349209325,0.02739654704944045,0.13331906359003476,0.2139709321738334,"{'lambda_reg': 4.98275235707645e-05, 'gamma': 0.01474275315991467, 'coef0': -1.336381567063083}"
polynomial,0.18466322308210759,0.029215659688337725,0.12921460897500198,0.21237705207042717,"{'lambda_reg': 0.028485410236913686, 'gamma': 0.00925166144692229, 'degree': 3, 'coef0': 1.5050133360961206}"
