linear,rbf,laplacian,exponential,cauchy,sigmoid,polynomial
"[np.float64(0.11349992181427114), np.float64(0.15087323327446062), np.float64(0.16522152271276846), np.float64(0.19900359954727548), np.float64(0.13012400592910411)]","[np.float64(0.11856166964515484), np.float64(0.15133730602931786), np.float64(0.17441458291707068), np.float64(0.20585325647678135), np.float64(0.13085400491005691)]","[np.float64(0.13872137155948802), np.float64(0.1539971210972238), np.float64(0.17415978696168014), np.float64(0.1865766791677004), np.float64(0.13830973494999402)]","[np.float64(0.1327842123807532), np.float64(0.1495183178043955), np.float64(0.16891173125521233), np.float64(0.17733001776888388), np.float64(0.13925430739192537)]","[np.float64(0.1293500160182496), np.float64(0.1521800124532353), np.float64(0.1707091470151574), np.float64(0.24862323939225595), np.float64(0.13081615449702771)]","[np.float64(0.14002544231309486), np.float64(0.1785742441343957), np.float64(0.168959059834191), np.float64(0.1823267076919451), np.float64(0.12324909063823261)]","[np.float64(0.11551382594603873), np.float64(0.14960962524050606), np.float64(0.17945137522126153), np.float64(0.19446233082446707), np.float64(0.13043213830683312)]"
0.15174445665557595,0.15620416399567633,0.15835293874721726,0.15355971732023405,0.16633571387518517,0.15862690892237188,0.1538938591078213
0.029481876674972308,0.03124076181705548,0.01924857173870949,0.01704881687409901,0.043864173536686535,0.0230821774224415,0.02946462786320556
"[{'lambda_reg': 0.974217634211552}, {'lambda_reg': 0.7897219752341905}, {'lambda_reg': 0.9012852407949292}, {'lambda_reg': 0.86607490542954}, {'lambda_reg': 0.974217634211552}]","[{'lambda_reg': 0.8192602279031006, 'gamma': 0.023739423955292542}, {'lambda_reg': 0.567005066101662, 'gamma': 0.026810157533840164}, {'lambda_reg': 0.8192602279031006, 'gamma': 0.023739423955292542}, {'lambda_reg': 6.0268891286825045e-05, 'gamma': 0.004207053950287938}, {'lambda_reg': 0.03907526308501415, 'gamma': 0.0036695914618347296}]","[{'lambda_reg': 0.697505813952694, 'gamma': 0.8901098067400305}, {'lambda_reg': 0.2795774569226528, 'gamma': 0.017800573526474215}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.853803395078907, 'gamma': 0.03713740624438136}]","[{'lambda_reg': 0.00033205591037519585, 'gamma': 0.12561043700013558}, {'lambda_reg': 0.25039735266877305, 'gamma': 0.10073394679480786}, {'lambda_reg': 0.10648596166973988, 'gamma': 0.041311754810479676}, {'lambda_reg': 0.9332435558260301, 'gamma': 0.07681616321346095}, {'lambda_reg': 0.1247117403453705, 'gamma': 0.024020392351233304}]","[{'lambda_reg': 0.00031212816385490166, 'gamma': 0.003143005134636589}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055}, {'lambda_reg': 0.03907526308501415, 'gamma': 0.0036695914618347296}, {'lambda_reg': 6.0268891286825045e-05, 'gamma': 0.004207053950287938}, {'lambda_reg': 0.05514629574886951, 'gamma': 0.0023189320498066654}]","[{'lambda_reg': 0.0014445251022763056, 'gamma': 0.014618962793704957, 'coef0': 1.118528947223795}, {'lambda_reg': 0.00026870239798129804, 'gamma': 0.08351208097443713, 'coef0': -1.4707827876337385}, {'lambda_reg': 0.00014956969951136764, 'gamma': 0.1042788542148164, 'coef0': 4.458097199737131}, {'lambda_reg': 0.0014445251022763056, 'gamma': 0.014618962793704957, 'coef0': 1.118528947223795}, {'lambda_reg': 1.1616879416871756e-05, 'gamma': 0.09235797829802403, 'coef0': -1.4228760832142324}]","[{'lambda_reg': 0.009163741808778781, 'gamma': 0.0015339162591163618, 'degree': 5, 'coef0': 0.8526206184364576}, {'lambda_reg': 0.00012952810042823998, 'gamma': 0.0010652844484419434, 'degree': 5, 'coef0': 3.0872723649651057}, {'lambda_reg': 0.461839653249071, 'gamma': 0.015931596269242548, 'degree': 2, 'coef0': 0.22373750837921857}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055, 'degree': 2, 'coef0': 0.9170225492671691}, {'lambda_reg': 0.1452824663751603, 'gamma': 0.0070689749506246055, 'degree': 2, 'coef0': 0.9170225492671691}]"
