test_ibs,mean_ibs,std_ibs,test_cindex,mean_cindex,std_cindex,mean_bias,std_bias,mean_mse,std_mse,best_params,sample_size,method,kernel
"[np.float64(0.09879925707736056), np.float64(0.1048159667445919), np.float64(0.12859037072620436), np.float64(0.09197462931489685), np.float64(0.1479556343752871)]",0.1144271716476681,0.0208109473677976,"[np.float64(0.7594327141675242), np.float64(0.7738984808097717), np.float64(0.7822124112221948), np.float64(0.8108172751491072), np.float64(0.7428839993132718)]",0.7738489761323739,0.0228178133389334,-0.2717712814766183,0.218290697496503,0.2269972669099998,0.159345711025351,"[{'lambda_reg': 0.0015103293014565788, 'K_bin': 336, 'gamma': 0.027221388901869373}, {'lambda_reg': 0.19778975971310195, 'K_bin': 87, 'gamma': 0.06454018821052387}, {'lambda_reg': 0.07095576785538658, 'K_bin': 857, 'gamma': 0.0785986128092863}, {'lambda_reg': 0.8297814751981399, 'K_bin': 298, 'gamma': 0.5404368692985072}, {'lambda_reg': 0.00912376090041937, 'K_bin': 104, 'gamma': 0.02123115965323014}]",600,1,laplacian
"[np.float64(0.07787419296906484), np.float64(0.0836848343605735), np.float64(0.12122816566950008), np.float64(0.08291045091957418), np.float64(0.1154651139272676)]",0.096232551569196,0.0182571908160355,"[np.float64(0.8096501111753766), np.float64(0.8309106159970135), np.float64(0.7996897986207048), np.float64(0.82068486431648), np.float64(0.7870369812916754)]",0.8095944742802501,0.0153903920298303,-0.0994101039772527,0.1208758488595401,0.0671448094464588,0.0578192663933467,"[{'lambda_reg': 0.34778786173731924, 'K_bin': 59, 'gamma': 0.2697919118591636}, {'lambda_reg': 0.0001388048378820232, 'K_bin': 23, 'gamma': 0.01460998244441874}, {'lambda_reg': 0.0004987739957620369, 'K_bin': 385, 'gamma': 0.0021594006113989537}, {'lambda_reg': 0.0013878575220318465, 'K_bin': 370, 'gamma': 0.005665302926705014}, {'lambda_reg': 0.00025703380062944034, 'K_bin': 5, 'gamma': 0.0018239265005480674}]",600,1,exponential
"[np.float64(0.08873593561290462), np.float64(0.0926784593173658), np.float64(0.12751497463876466), np.float64(0.08197919042273895), np.float64(0.12156897289319218)]",0.1024955065769932,0.018419502370933,"[np.float64(0.760937413901572), np.float64(0.8220381278908442), np.float64(0.7868836263862415), np.float64(0.7994557404989237), np.float64(0.7797946912545668)]",0.7898219199864296,0.0203675630672674,-0.2575816700558356,0.1077513325952781,0.1753361281836973,0.086863563372338,"[{'lambda_reg': 0.0016623228045067994, 'K_bin': 361, 'gamma': 0.026475921654952092}, {'lambda_reg': 0.0105914031242129, 'K_bin': 121, 'gamma': 0.23040648358731328}, {'lambda_reg': 2.307531372162043e-05, 'K_bin': 561, 'gamma': 0.02624791857062081}, {'lambda_reg': 0.0011867522949102537, 'K_bin': 288, 'gamma': 0.01690882146423701}, {'lambda_reg': 0.0008712953486394572, 'K_bin': 827, 'gamma': 0.08158265229316623}]",600,1,cauchy
"[np.float64(0.08767110116605525), np.float64(0.08639182599507357), np.float64(0.12183946792839043), np.float64(0.09569877326429194), np.float64(0.11677177730464681)]",0.1016745891316915,0.0148318463259968,"[np.float64(0.7737593397891921), np.float64(0.776888226385617), np.float64(0.7979392477312531), np.float64(0.8107824159955537), np.float64(0.7694040754310391)]",0.7857546610665309,0.0159040605890344,-0.0927162741275072,0.1413831307634145,0.0797058195303536,0.0558649620067295,"[{'lambda_reg': 1.5862700389163216e-05, 'K_bin': 321, 'gamma': 0.16362230092306695, 'coef0': -0.5940889698009482}, {'lambda_reg': 0.00013829897601172586, 'K_bin': 45, 'gamma': 0.24844152317018134, 'coef0': -4.453505329434116}, {'lambda_reg': 1.7103428603796435e-05, 'K_bin': 61, 'gamma': 0.010675905046268903, 'coef0': 1.5690358207825472}, {'lambda_reg': 0.00011511173079448458, 'K_bin': 49, 'gamma': 0.11707886735254426, 'coef0': 1.0628034390179106}, {'lambda_reg': 0.0021560793582336485, 'K_bin': 212, 'gamma': 0.13941895115283212, 'coef0': -0.07882919769175079}]",600,1,sigmoid
"[np.float64(0.09812733384285924), np.float64(0.08075927877717654), np.float64(0.14610284247519248), np.float64(0.08334336878017437), np.float64(0.11819351470520938)]",0.1053052677161223,0.0243594020009778,"[np.float64(0.7570463251291192), np.float64(0.7821889101256478), np.float64(0.7915036191439883), np.float64(0.7871830422164806), np.float64(0.7813652715556506)]",0.7798574336341773,0.011977931433159,-0.2786624163319312,0.0893563889829694,0.19649425090386,0.0805633290115362,"[{'lambda_reg': 0.012095028430356246, 'K_bin': 649, 'gamma': 1.815592087044644, 'degree': 2, 'coef0': 1.5189901236661814}, {'lambda_reg': 6.481820682371427e-05, 'K_bin': 824, 'gamma': 0.1390337851025933, 'degree': 4, 'coef0': 1.3343374157834127}, {'lambda_reg': 1.4912270794572898e-05, 'K_bin': 217, 'gamma': 0.1563835822014397, 'degree': 4, 'coef0': 3.456683966332201}, {'lambda_reg': 5.898373289909464e-05, 'K_bin': 239, 'gamma': 0.0159257651947436, 'degree': 3, 'coef0': 0.7661039393116076}, {'lambda_reg': 1.6707388327645963e-05, 'K_bin': 396, 'gamma': 0.47432975968996477, 'degree': 3, 'coef0': 0.891159450403261}]",600,1,polynomial
"[np.float64(0.2460689819938021), np.float64(0.1960867415266465), np.float64(0.2737080408434652), np.float64(0.23884204772247894), np.float64(0.26297844075044857)]",0.2435368505673683,0.0267141979584369,"[np.float64(0.5864303176258927), np.float64(0.5384157484238764), np.float64(0.48324065524853904), np.float64(0.6471844056160773), np.float64(0.5708264166970833)]",0.5652195087222938,0.0541083249365523,-0.4053284181344742,0.0314389125633618,0.3102063012249288,0.0272330578257007,"[{'lambda_reg': 0.6400832807187161, 'K_bin': 72}, {'lambda_reg': 0.18735518980217944, 'K_bin': 964}, {'lambda_reg': 0.0020902069371023274, 'K_bin': 974}, {'lambda_reg': 0.0004113546888639103, 'K_bin': 894}, {'lambda_reg': 0.0004557915225494162, 'K_bin': 39}]",600,2,linear
"[np.float64(0.16284509924387355), np.float64(0.08519397645066125), np.float64(0.195770182321435), np.float64(0.13497839575138898), np.float64(0.15919828441069253)]",0.1475971876356102,0.0367181599392163,"[np.float64(0.7277348098208802), np.float64(0.8206485660522057), np.float64(0.7521019251658476), np.float64(0.7338327437095241), np.float64(0.7861393188214578)]",0.7640914727139831,0.0348309034994624,-0.2156919622183751,0.1873472443663988,0.1629501725570797,0.1174163216126312,"[{'lambda_reg': 3.094365926968339e-05, 'K_bin': 729, 'gamma': 0.19402346852411537}, {'lambda_reg': 0.03152981096939491, 'K_bin': 158, 'gamma': 1.172572377444241}, {'lambda_reg': 0.0009495537138629526, 'K_bin': 4, 'gamma': 0.1839483131782331}, {'lambda_reg': 0.07586600831185482, 'K_bin': 590, 'gamma': 0.8729093048086826}, {'lambda_reg': 0.2742622950338942, 'K_bin': 238, 'gamma': 1.7982952371515069}]",600,2,rbf
"[np.float64(0.1759777013181757), np.float64(0.06370994883501237), np.float64(0.12310438968782268), np.float64(0.13714293921714063), np.float64(0.2441384113731023)]",0.1488146780862507,0.0597737522956799,"[np.float64(0.7509457962423869), np.float64(0.7630388689779174), np.float64(0.7055802589775246), np.float64(0.6936888347798943), np.float64(0.8596881352675094)]",0.7545883788490466,0.0587216966237468,-0.273219837140832,0.2212087045649828,0.2332047957862039,0.168047467857786,"[{'lambda_reg': 0.013826652143330771, 'K_bin': 430, 'gamma': 0.03835358092374294}, {'lambda_reg': 0.09031268990978454, 'K_bin': 501, 'gamma': 0.046799698455146956}, {'lambda_reg': 0.022866462630465136, 'K_bin': 3, 'gamma': 0.004622520745089494}, {'lambda_reg': 0.02110567422759866, 'K_bin': 34, 'gamma': 0.04565696067659952}, {'lambda_reg': 0.12547358819145396, 'K_bin': 469, 'gamma': 0.08903768538068162}]",300,1,laplacian
"[np.float64(0.14251007704573562), np.float64(0.09072620604868262), np.float64(0.23721154384655813), np.float64(0.15636638089985397), np.float64(0.1624276219074032)]",0.1578483659496467,0.0470368522054393,"[np.float64(0.7529270680904534), np.float64(0.7734829649165801), np.float64(0.7190959190243988), np.float64(0.7213686958451742), np.float64(0.795736116017044)]",0.75252215277873,0.0296473175938747,-0.3056367102195348,0.1387647874540098,0.2172107597446161,0.1033268806061724,"[{'lambda_reg': 0.01624678779346014, 'K_bin': 152, 'gamma': 0.002948976097468441}, {'lambda_reg': 0.004898014716853839, 'K_bin': 436, 'gamma': 0.001612267788163725}, {'lambda_reg': 0.0012340939192910052, 'K_bin': 670, 'gamma': 0.0018554839560598248}, {'lambda_reg': 0.2332325946630413, 'K_bin': 374, 'gamma': 0.4783745066768455}, {'lambda_reg': 0.31790397168490026, 'K_bin': 291, 'gamma': 0.7338824324135794}]",600,2,laplacian
"[np.float64(0.14730008484119939), np.float64(0.08609260542576846), np.float64(0.24636173863865582), np.float64(0.15783740673757088), np.float64(0.16441210832312125)]",0.1604007887932631,0.0511962519520189,"[np.float64(0.7493443505653856), np.float64(0.804567222146681), np.float64(0.7081431886336701), np.float64(0.7281544282418592), np.float64(0.7771633499450965)]",0.7534745079065385,0.0343066169316058,-0.0928079021418914,0.1553822327861483,0.0868561594498405,0.0936778117700663,"[{'lambda_reg': 0.0010576387934954094, 'K_bin': 657, 'gamma': 0.00850968862229568}, {'lambda_reg': 1.1410139347178398e-05, 'K_bin': 121, 'gamma': 0.01079761435672405}, {'lambda_reg': 0.14594679737718277, 'K_bin': 117, 'gamma': 0.4975979880878422}, {'lambda_reg': 0.002014854212607555, 'K_bin': 109, 'gamma': 0.0016263396528407447}, {'lambda_reg': 0.000999609848095069, 'K_bin': 121, 'gamma': 0.015488663112505272}]",600,2,exponential
