kernel,C,A,gamma,mean_cindex,std,prop_censor
wavelet,0.25,0.125,,0.4763286663055807,0.05669531872087802,0.06
wavelet,0.25,0.25,,0.4653172313242009,0.04888987473294036,0.06
wavelet,0.25,0.5,,0.47341799758119696,0.04941271218556962,0.06
wavelet,0.25,1.0,,0.7215989952960539,0.05196984654214249,0.06
wavelet,0.25,2.0,,0.7611293731009523,0.048424017586682425,0.06
wavelet,0.25,4.0,,0.7588260545212653,0.04471261120039454,0.06
wavelet,0.25,8.0,,0.7136459523591643,0.047248086686549624,0.06
wavelet,0.5,0.125,,0.46883464723602264,0.05750665400178344,0.06
wavelet,0.5,0.25,,0.47229566346449525,0.05583994290457793,0.06
wavelet,0.5,0.5,,0.465445764119845,0.05599826957575875,0.06
wavelet,0.5,1.0,,0.7301438176721224,0.042442397182442776,0.06
wavelet,0.5,2.0,,0.7766907852192746,0.04159344729691519,0.06
wavelet,0.5,4.0,,0.7591288673016996,0.04942338762890531,0.06
wavelet,0.5,8.0,,0.7169367702162747,0.04371324111229662,0.06
wavelet,1.0,0.125,,0.4746960040124356,0.0524227693437234,0.06
wavelet,1.0,0.25,,0.4698459362096983,0.05685001482889949,0.06
wavelet,1.0,0.5,,0.4637468551615692,0.05200912421220773,0.06
wavelet,1.0,1.0,,0.7350332685173762,0.04451662856321548,0.06
wavelet,1.0,2.0,,0.7804071379976962,0.037838259130067387,0.06
wavelet,1.0,4.0,,0.7792250497853227,0.04198650573715291,0.06
wavelet,1.0,8.0,,0.7160263059337251,0.04922042861123837,0.06
wavelet,2.0,0.125,,0.4725409377407679,0.053838239250395964,0.06
wavelet,2.0,0.25,,0.46437751466373334,0.055765933913781644,0.06
wavelet,2.0,0.5,,0.4458043699998517,0.05010862681012132,0.06
wavelet,2.0,1.0,,0.7364930508520436,0.044315328907138185,0.06
wavelet,2.0,2.0,,0.7810617621312373,0.04468829031496248,0.06
wavelet,2.0,4.0,,0.7911509751241421,0.04415324985026618,0.06
wavelet,2.0,8.0,,0.7363453281181708,0.04628651349993915,0.06
wavelet,4.0,0.125,,0.48253123670121056,0.053013958470038675,0.06
wavelet,4.0,0.25,,0.46331801522065413,0.056282089776934816,0.06
wavelet,4.0,0.5,,0.43851936360218885,0.05540581644669182,0.06
wavelet,4.0,1.0,,0.7405603407945456,0.042553466487939985,0.06
wavelet,4.0,2.0,,0.7923055346395762,0.03724152434077354,0.06
wavelet,4.0,4.0,,0.7905629798167159,0.045072751994811984,0.06
wavelet,4.0,8.0,,0.7531205869036137,0.04620709901058123,0.06
linear,0.25,,0.125,0.6688412745301558,0.047270686063319196,0.06
linear,0.25,,0.25,0.6658283523981199,0.058486355909677115,0.06
linear,0.25,,0.5,0.6619527169428892,0.058708491717532875,0.06
linear,0.25,,1.0,0.6651951685623015,0.06294912686367586,0.06
linear,0.25,,2.0,0.6666378455744895,0.058099083992583206,0.06
linear,0.25,,4.0,0.655861995720585,0.061050103937839946,0.06
linear,0.25,,8.0,0.6642143747452461,0.05527450086519748,0.06
linear,0.5,,0.125,0.6653310075711174,0.06123166644746911,0.06
linear,0.5,,0.25,0.6543794525241754,0.0547131190515235,0.06
linear,0.5,,0.5,0.6518180944914563,0.06650474739528273,0.06
linear,0.5,,1.0,0.6558451840703756,0.05955738004174602,0.06
linear,0.5,,2.0,0.6585265659032785,0.05494671792406737,0.06
linear,0.5,,4.0,0.6590835390120675,0.060061991853519264,0.06
linear,0.5,,8.0,0.6463094070862081,0.053933779066406215,0.06
linear,1.0,,0.125,0.6622059781875059,0.0547036837333269,0.06
linear,1.0,,0.25,0.651295558348106,0.0565161371528975,0.06
linear,1.0,,0.5,0.648694157958051,0.05854001070720716,0.06
linear,1.0,,1.0,0.6494399272690987,0.04910712182700692,0.06
linear,1.0,,2.0,0.6503926110823108,0.05300973258086121,0.06
linear,1.0,,4.0,0.6454965944773838,0.05962955967895349,0.06
linear,1.0,,8.0,0.6607943407622474,0.05700738650026482,0.06
linear,2.0,,0.125,0.6513122499083258,0.051043646655871806,0.06
linear,2.0,,0.25,0.6535641712062902,0.05498366362808854,0.06
linear,2.0,,0.5,0.660318296722679,0.05552036017260482,0.06
linear,2.0,,1.0,0.6602629493643214,0.05231804828783555,0.06
linear,2.0,,2.0,0.6522191612011083,0.05537968596810184,0.06
linear,2.0,,4.0,0.6534766354812459,0.05256611154377615,0.06
linear,2.0,,8.0,0.659800989316341,0.05647369445261671,0.06
linear,4.0,,0.125,0.6632074544714385,0.05456913021929936,0.06
linear,4.0,,0.25,0.6514487705888318,0.058984978776451334,0.06
linear,4.0,,0.5,0.6663557260513453,0.052321934352723296,0.06
linear,4.0,,1.0,0.6625894650391175,0.057935520925310735,0.06
linear,4.0,,2.0,0.6471779189560587,0.05257525446646026,0.06
linear,4.0,,4.0,0.6613777946585475,0.05881295064226622,0.06
linear,4.0,,8.0,0.6588329808853405,0.05397718432904087,0.06
rbf,0.25,,0.125,0.7493400434305214,0.04718620467991057,0.06
rbf,0.25,,0.25,0.7643393652033419,0.046096963984290716,0.06
rbf,0.25,,0.5,0.7768592009764788,0.039831609879218494,0.06
rbf,0.25,,1.0,0.7720673876656855,0.039971668474130743,0.06
rbf,0.25,,2.0,0.7652205763793073,0.03744634343890326,0.06
