kernel,C,A,gamma,mean_cindex,std,dataset
rbf,1.0,,8.0,0.5714816845670401,0.043533497303514836,cgd
rbf,2.0,,0.125,0.6648551317454403,0.06986419934910885,cgd
rbf,2.0,,0.25,0.6794491161872753,0.058937733907527774,cgd
rbf,2.0,,0.5,0.6520046017615936,0.06428324950587375,cgd
rbf,2.0,,1.0,0.6693227551047077,0.06340883717057702,cgd
rbf,2.0,,2.0,0.6620845727910678,0.05794512084962269,cgd
rbf,2.0,,4.0,0.642323559189163,0.04697521004158139,cgd
rbf,2.0,,8.0,0.6009407025254683,0.03498532213022065,cgd
rbf,4.0,,0.125,0.697480660152985,0.04783182521757029,cgd
rbf,4.0,,0.25,0.6739992253370939,0.0434136959935768,cgd
rbf,4.0,,0.5,0.6596241846845181,0.039274308950302046,cgd
rbf,4.0,,1.0,0.6704888951451528,0.051166283465381095,cgd
rbf,4.0,,2.0,0.654806672666702,0.06825908504742513,cgd
rbf,4.0,,4.0,0.6229217040416578,0.03770399261053347,cgd
rbf,4.0,,8.0,0.5717385157158441,0.03330273078136325,cgd
exponential,0.25,,0.125,0.7582043331729913,0.0583940105647783,cgd
exponential,0.25,,0.25,0.6609096824299089,0.06468187666733331,cgd
exponential,0.25,,0.5,0.6219980429558909,0.04641696459907623,cgd
exponential,0.25,,1.0,0.5960539988647887,0.06416180332492342,cgd
exponential,0.25,,2.0,0.6617192592083534,0.024119733807098323,cgd
exponential,0.25,,4.0,0.6768776055811612,0.047262138152484125,cgd
exponential,0.25,,8.0,0.6877763086841651,0.04556205380352263,cgd
exponential,0.5,,0.125,0.7922659701322594,0.0765755037030911,cgd
exponential,0.5,,0.25,0.6869295728335719,0.051682140414986574,cgd
exponential,0.5,,0.5,0.6668544897727836,0.05990490879105364,cgd
exponential,0.5,,1.0,0.6190700522047978,0.07227028589583587,cgd
exponential,0.5,,2.0,0.6859007989657917,0.09746244691068588,cgd
exponential,0.5,,4.0,0.6916348017991396,0.024676355499792725,cgd
exponential,0.5,,8.0,0.6305814755108178,0.03358103130437543,cgd
exponential,1.0,,0.125,0.7567518063747531,0.05332941476085612,cgd
exponential,1.0,,0.25,0.6707139878349251,0.055505187408193164,cgd
exponential,1.0,,0.5,0.6327021284157943,0.04916047931808337,cgd
exponential,1.0,,1.0,0.6742797344107363,0.07198050936597257,cgd
exponential,1.0,,2.0,0.6772556602016667,0.0579700976414854,cgd
exponential,1.0,,4.0,0.6381417790848289,0.07171032358946511,cgd
exponential,1.0,,8.0,0.6664610745234276,0.04769821043168471,cgd
exponential,2.0,,0.125,0.7780741528322698,0.03721916228316753,cgd
exponential,2.0,,0.25,0.7079294417765728,0.07869460760605179,cgd
exponential,2.0,,0.5,0.6792316554009461,0.07551940680476571,cgd
exponential,2.0,,1.0,0.6118262153020886,0.056266258773839395,cgd
exponential,2.0,,2.0,0.7013161841470165,0.05740182907981855,cgd
exponential,2.0,,4.0,0.6588211305591015,0.0633649136523919,cgd
exponential,2.0,,8.0,0.6478761847602083,0.025988149887325517,cgd
exponential,4.0,,0.125,0.7377204376926368,0.033898400478259705,cgd
exponential,4.0,,0.25,0.7015814599690812,0.058860209608526365,cgd
exponential,4.0,,0.5,0.655473227456404,0.08827015032499658,cgd
exponential,4.0,,1.0,0.6479181018270944,0.05518686075500025,cgd
exponential,4.0,,2.0,0.6638182195459225,0.07073107403330525,cgd
exponential,4.0,,4.0,0.6447831233905389,0.057911524146125194,cgd
exponential,4.0,,8.0,0.6607987981886295,0.024123415852486296,cgd
poly,0.25,,0.125,0.7543562610349935,0.04946324627751236,cgd
poly,0.25,,0.25,0.8054803296781765,0.053297173325526914,cgd
poly,0.25,,0.5,0.8201532064450363,0.04661181957075643,cgd
poly,0.25,,1.0,0.8040010560562394,0.02434497466202732,cgd
poly,0.25,,2.0,0.7831064809921292,0.039369597391523195,cgd
poly,0.25,,4.0,0.7781420209077402,0.03701675155611689,cgd
poly,0.25,,8.0,0.7973062332699945,0.029073387649909185,cgd
poly,0.5,,0.125,0.7794114145504838,0.027324021792964545,cgd
poly,0.5,,0.25,0.814395826748744,0.02922521604321075,cgd
poly,0.5,,0.5,0.7687964609501259,0.04441294693599269,cgd
poly,0.5,,1.0,0.7998557523121932,0.04193743808957989,cgd
poly,0.5,,2.0,0.8126052880863652,0.03507743875236028,cgd
poly,0.5,,4.0,0.7855696328048526,0.06091466307927513,cgd
poly,0.5,,8.0,0.7771144592809492,0.04959932745740201,cgd
poly,1.0,,0.125,0.8307892948840532,0.04543994103791838,cgd
poly,1.0,,0.25,0.8163297559101773,0.027876085028649786,cgd
poly,1.0,,0.5,0.79640650249521,0.041795382338384236,cgd
poly,1.0,,1.0,0.7939186278292196,0.04531877003854034,cgd
poly,1.0,,2.0,0.7813106060186643,0.055145504461215376,cgd
poly,1.0,,4.0,0.7963445613712996,0.045770432403194235,cgd
poly,1.0,,8.0,0.7901246249208109,0.028582220443189622,cgd
poly,2.0,,0.125,0.8276835236833395,0.023376074859517825,cgd
poly,2.0,,0.25,0.7885433733681216,0.03248221562204111,cgd
poly,2.0,,0.5,0.8102392945123877,0.06358365044164291,cgd
poly,2.0,,1.0,0.7911552220667719,0.04016590325155637,cgd
poly,2.0,,2.0,0.8043400147640879,0.06784004545696576,cgd
poly,2.0,,4.0,0.7822510278697236,0.0393523358912443,cgd
poly,2.0,,8.0,0.7959785423024929,0.049740423200989994,cgd
poly,4.0,,0.125,0.8529977771019432,0.03384002260626106,cgd
poly,4.0,,0.25,0.7965968805813736,0.027760809227029344,cgd
poly,4.0,,0.5,0.7943966212207959,0.04117826504325821,cgd
poly,4.0,,1.0,0.7826119911310181,0.04516217140877726,cgd
poly,4.0,,2.0,0.7933711587668275,0.041364700797488524,cgd
poly,4.0,,4.0,0.7857094728757484,0.03034208107363531,cgd
poly,4.0,,8.0,0.7601689636932327,0.053009069836094186,cgd
cauchy,0.25,,0.125,0.6712943420623378,0.08514882898190909,cgd
cauchy,0.25,,0.25,0.672821804530557,0.060689489824802156,cgd
cauchy,0.25,,0.5,0.6810119037112575,0.06774366746194234,cgd
cauchy,0.25,,1.0,0.6627675608553539,0.05476808304834017,cgd
cauchy,0.25,,2.0,0.6464135818881052,0.05056022102665369,cgd
cauchy,0.25,,4.0,0.6824456562693835,0.03844151683442714,cgd
cauchy,0.25,,8.0,0.694869789419471,0.04588338718740162,cgd
cauchy,0.5,,0.125,0.6977066092125865,0.057481092228414264,cgd
cauchy,0.5,,0.25,0.667709785680547,0.07293041932021647,cgd
cauchy,0.5,,0.5,0.6760275753945961,0.04629756894201638,cgd
cauchy,0.5,,1.0,0.6605982667617885,0.023515305462993824,cgd
cauchy,0.5,,2.0,0.660896339912262,0.062220416484174056,cgd
cauchy,0.5,,4.0,0.6931941875637909,0.04092247826716085,cgd
cauchy,0.5,,8.0,0.6589994513010852,0.05927857649209318,cgd
cauchy,1.0,,0.125,0.6849687553954517,0.05002137750927095,cgd
cauchy,1.0,,0.25,0.6907317565237006,0.05488257050220363,cgd
cauchy,1.0,,0.5,0.6598843569090082,0.07941988549261877,cgd
cauchy,1.0,,1.0,0.6335795385375377,0.048144045097596115,cgd
cauchy,1.0,,2.0,0.6282138044946827,0.0606772837329585,cgd
cauchy,1.0,,4.0,0.6700064930576684,0.044938273765778025,cgd
cauchy,1.0,,8.0,0.6719342764013982,0.06189052063766348,cgd
cauchy,2.0,,0.125,0.6546992613552501,0.04922770717011146,cgd
cauchy,2.0,,0.25,0.674024085510718,0.04541606634065895,cgd
cauchy,2.0,,0.5,0.6513623734846795,0.09055943154731576,cgd
cauchy,2.0,,1.0,0.6446189667805085,0.05761533274133864,cgd
cauchy,2.0,,2.0,0.6932947342307663,0.07657966128764823,cgd
cauchy,2.0,,4.0,0.6728395594087422,0.07710200562041672,cgd
cauchy,2.0,,8.0,0.6703908115963125,0.08116214050920072,cgd
cauchy,4.0,,0.125,0.7110217201963321,0.05269213085583047,cgd
cauchy,4.0,,0.25,0.6700417663238836,0.05581255623187389,cgd
cauchy,4.0,,0.5,0.6691958810418517,0.07751855773545929,cgd
cauchy,4.0,,1.0,0.6532249273874495,0.03641522256383444,cgd
cauchy,4.0,,2.0,0.6573039046537676,0.06594073808977305,cgd
cauchy,4.0,,4.0,0.6635422506338009,0.061416137400351664,cgd
cauchy,4.0,,8.0,0.6679620966362887,0.03432191800093783,cgd
laplacian,0.25,,0.125,0.7818711476641875,0.05371166248725856,cgd
laplacian,0.25,,0.25,0.6734882297677287,0.049826372269043954,cgd
laplacian,0.25,,0.5,0.6748331945486394,0.07422391422520616,cgd
laplacian,0.25,,1.0,0.6986179578919669,0.04096839511966286,cgd
laplacian,0.25,,2.0,0.6760251619705222,0.0631745333737927,cgd
laplacian,0.25,,4.0,0.6642282169691757,0.03500461826164693,cgd
laplacian,0.25,,8.0,0.5888672397969197,0.059840402695630124,cgd
laplacian,0.5,,0.125,0.7490221542939263,0.05619797139285181,cgd
laplacian,0.5,,0.25,0.6634947866636628,0.0669646332244176,cgd
laplacian,0.5,,0.5,0.7183949059834775,0.07864507994997282,cgd
laplacian,0.5,,1.0,0.6885572363612515,0.030997322537813232,cgd
laplacian,0.5,,2.0,0.6772983574062399,0.07908078893131647,cgd
laplacian,0.5,,4.0,0.6618603990715879,0.05229674029734514,cgd
laplacian,0.5,,8.0,0.5834612809566,0.024762648510511014,cgd
laplacian,1.0,,0.125,0.7421360302487894,0.03312349131273265,cgd
laplacian,1.0,,0.25,0.6865600294010252,0.07325698797155163,cgd
laplacian,1.0,,0.5,0.6784442886865909,0.04650346287730735,cgd
laplacian,1.0,,1.0,0.6591166234657375,0.045021667036341695,cgd
laplacian,1.0,,2.0,0.6911367812842175,0.06145143271982203,cgd
laplacian,1.0,,4.0,0.6431396484893253,0.03994243914199793,cgd
laplacian,1.0,,8.0,0.6013951017552425,0.02472835149473084,cgd
laplacian,2.0,,0.125,0.7639670021760345,0.05616790916969982,cgd
laplacian,2.0,,0.25,0.6280935448635754,0.043851294821394896,cgd
laplacian,2.0,,0.5,0.6960247945582185,0.04821397777212124,cgd
laplacian,2.0,,1.0,0.6993483348302832,0.0429859346349899,cgd
laplacian,2.0,,2.0,0.6539230547973959,0.05596324663355914,cgd
laplacian,2.0,,4.0,0.6723160369063998,0.05334053047822281,cgd
laplacian,2.0,,8.0,0.6023502519059051,0.03702474186706813,cgd
laplacian,4.0,,0.125,0.761198416913596,0.040822645905435245,cgd
laplacian,4.0,,0.25,0.6554032899786467,0.03546514099872837,cgd
laplacian,4.0,,0.5,0.7007244374088641,0.046511778028941846,cgd
laplacian,4.0,,1.0,0.6655651963258405,0.0441351505602057,cgd
laplacian,4.0,,2.0,0.6737624739704389,0.04544312647012808,cgd
