kernel,C,A,gamma,mean_cindex,std,prop_censor
wavelet,0.25,0.125,,0.47740471025618164,0.024291492760985082,0.06
wavelet,0.25,0.25,,0.49124975421702927,0.02716390833457245,0.06
wavelet,0.25,0.5,,0.5360469393957914,0.02504425084011485,0.06
wavelet,0.25,1.0,,0.6745472774545123,0.02156517128905306,0.06
wavelet,0.25,2.0,,0.7465513189506866,0.025619553716973262,0.06
wavelet,0.25,4.0,,0.770750759542214,0.02722443575536436,0.06
wavelet,0.25,8.0,,0.7462094557692021,0.026316538355547644,0.06
wavelet,0.5,0.125,,0.47573194320530005,0.026784885666154015,0.06
wavelet,0.5,0.25,,0.49291732813020983,0.0239801267656359,0.06
wavelet,0.5,0.5,,0.5412596363197546,0.025366091593631068,0.06
wavelet,0.5,1.0,,0.6754140362385799,0.024809435949861087,0.06
wavelet,0.5,2.0,,0.7534905484604648,0.0209980611442041,0.06
wavelet,0.5,4.0,,0.7724445724005176,0.02135868062895823,0.06
wavelet,0.5,8.0,,0.7496437120492377,0.026026744112692866,0.06
wavelet,1.0,0.125,,0.47726813142410746,0.023829775697036114,0.06
wavelet,1.0,0.25,,0.4950085335917913,0.022598726897234196,0.06
wavelet,1.0,0.5,,0.5512149426862265,0.02518091771099622,0.06
wavelet,1.0,1.0,,0.6858688759240252,0.022195145102990643,0.06
wavelet,1.0,2.0,,0.7605040805575065,0.020633906464623153,0.06
wavelet,1.0,4.0,,0.7749326997408036,0.0276433821958121,0.06
wavelet,1.0,8.0,,0.7529613177397261,0.02544726544818243,0.06
wavelet,2.0,0.125,,0.4752758239457869,0.0231212056006791,0.06
wavelet,2.0,0.25,,0.49883849256707585,0.02697672788032735,0.06
wavelet,2.0,0.5,,0.5551411391009514,0.026026254322653774,0.06
wavelet,2.0,1.0,,0.6999591518046724,0.023747241602569236,0.06
wavelet,2.0,2.0,,0.7612916671350913,0.02302712062846897,0.06
wavelet,2.0,4.0,,0.786950384269066,0.024094279945714732,0.06
wavelet,2.0,8.0,,0.7631951069761765,0.025046532460546878,0.06
wavelet,4.0,0.125,,0.484975282106152,0.022384406489644862,0.06
wavelet,4.0,0.25,,0.4973857847552373,0.02495978814455147,0.06
wavelet,4.0,0.5,,0.5524573502060072,0.02619537841828326,0.06
wavelet,4.0,1.0,,0.7108555532034181,0.024057068636778704,0.06
wavelet,4.0,2.0,,0.7651311250449551,0.023217751068916305,0.06
wavelet,4.0,4.0,,0.7841544577240676,0.02297633438351639,0.06
wavelet,4.0,8.0,,0.7778741758379394,0.02489689044264514,0.06
linear,0.25,,0.125,0.7297512955033219,0.02738119784040637,0.06
linear,0.25,,0.25,0.7311200352401345,0.031358187276303975,0.06
