kernel,mean_cindex,std_cindex,n,prop_cens
wavelet,0.7088650263744473,0.10928413072428926,50,0.1
cauchy,0.7394560369345075,0.07806297124014155,50,0.1
poly,0.733675549476624,0.096723915839848,50,0.1
rbf,0.719800841345456,0.08335329740201051,50,0.1
exponential,0.7296375082574769,0.0891533236836776,50,0.1
laplacian,0.7302739884167407,0.08520497114215907,50,0.1
linear,0.7035182060193825,0.08623064273936039,50,0.1
wavelet,0.7180583510934921,0.11251816549374964,50,0.25
cauchy,0.754458435826065,0.08277611021255547,50,0.25
poly,0.7569395220879049,0.11843597679796398,50,0.25
rbf,0.7264557027465347,0.1000148277645063,50,0.25
exponential,0.7359241556488618,0.09232247204218359,50,0.25
laplacian,0.7509083702606749,0.09450140749305092,50,0.25
linear,0.7417540378167208,0.10731894670214061,50,0.25
wavelet,0.7229897407170125,0.1374462341519528,50,0.5
cauchy,0.7736997115776234,0.09424703250538391,50,0.5
poly,0.7793730400187314,0.1284209959687748,50,0.5
rbf,0.7595811961244232,0.11819700067387938,50,0.5
exponential,0.7626680032156641,0.12012610859453317,50,0.5
laplacian,0.7771096306991737,0.11052189323223946,50,0.5
linear,0.7550389657915396,0.10739714516502469,50,0.5
